127.0.0.1, 2013-03-31 17:24:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000233
127.0.0.1, 2013-03-31 17:24:23, GET, /PSTL/default/test, HTTP/1.1, 200, 0.013311
127.0.0.1, 2013-03-31 17:24:23, GET, /PSTL/static/skulpt.js, HTTP/1.1, 304, 0.000315
127.0.0.1, 2013-03-31 17:24:23, GET, /PSTL/static/builtin.js, HTTP/1.1, 304, 0.000237
127.0.0.1, 2013-03-31 17:24:23, GET, /PSTL/static/jquery-linedtextarea.js, HTTP/1.1, 304, 0.000206
127.0.0.1, 2013-03-31 17:24:23, GET, /PSTL/static/jquery-linedtextarea.css, HTTP/1.1, 304, 0.000243
127.0.0.1, 2013-03-31 17:24:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000261
127.0.0.1, 2013-03-31 17:24:23, GET, /PSTL/default/test, HTTP/1.1, 200, 0.028518
127.0.0.1, 2013-03-31 17:24:23, GET, /PSTL/static/skulpt.js, HTTP/1.1, 304, 0.000314
127.0.0.1, 2013-03-31 17:24:23, GET, /PSTL/static/builtin.js, HTTP/1.1, 304, 0.000193
127.0.0.1, 2013-03-31 17:24:23, GET, /PSTL/static/jquery-linedtextarea.js, HTTP/1.1, 304, 0.000210
127.0.0.1, 2013-03-31 17:24:23, GET, /PSTL/static/jquery-linedtextarea.css, HTTP/1.1, 304, 0.000198
127.0.0.1, 2013-03-31 17:24:23, GET, /PSTL/default/test, HTTP/1.1, 200, 0.012573
127.0.0.1, 2013-03-31 17:24:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000240
127.0.0.1, 2013-03-31 17:24:23, GET, /PSTL/static/skulpt.js, HTTP/1.1, 304, 0.000299
127.0.0.1, 2013-03-31 17:24:23, GET, /PSTL/static/builtin.js, HTTP/1.1, 304, 0.000189
127.0.0.1, 2013-03-31 17:24:23, GET, /PSTL/static/jquery-linedtextarea.js, HTTP/1.1, 304, 0.000219
127.0.0.1, 2013-03-31 17:24:23, GET, /PSTL/static/jquery-linedtextarea.css, HTTP/1.1, 304, 0.000189
127.0.0.1, 2013-03-31 17:24:23, GET, /PSTL/default/test, HTTP/1.1, 200, 0.016706
127.0.0.1, 2013-03-31 17:24:23, GET, /PSTL/static/skulpt.js, HTTP/1.1, 304, 0.000323
127.0.0.1, 2013-03-31 17:24:23, GET, /PSTL/static/builtin.js, HTTP/1.1, 304, 0.000291
127.0.0.1, 2013-03-31 17:24:23, GET, /PSTL/static/jquery-linedtextarea.css, HTTP/1.1, 304, 0.000190
127.0.0.1, 2013-03-31 17:24:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000150
127.0.0.1, 2013-03-31 17:24:23, GET, /PSTL/static/jquery-linedtextarea.js, HTTP/1.1, 304, 0.000257
127.0.0.1, 2013-03-31 17:24:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000253
127.0.0.1, 2013-03-31 17:24:36, GET, /PSTL/default/test, HTTP/1.1, 200, 0.082581
127.0.0.1, 2013-03-31 17:24:36, GET, /PSTL/static/skulpt.js, HTTP/1.1, 304, 0.000311
127.0.0.1, 2013-03-31 17:24:36, GET, /PSTL/static/builtin.js, HTTP/1.1, 304, 0.000297
127.0.0.1, 2013-03-31 17:24:36, GET, /PSTL/static/jquery-linedtextarea.js, HTTP/1.1, 304, 0.000194
